Column0,Column1,Column2,Column3
0,0,700,0
49.5172,49.4778,699.012,0.1
99.0134,98.8367,698.025,0.2
148.489,148.077,697.04,0.3
197.943,197.198,696.057,0.4
247.376,246.201,695.074,0.5
296.789,295.086,694.094,0.6
346.181,343.852,693.115,0.7
395.552,392.499,692.137,0.8
444.902,441.028,691.161,0.9
494.232,489.439,690.187,1
543.541,537.732,689.214,1.1
592.829,585.907,688.243,1.2
642.097,633.964,687.273,1.3
691.344,681.903,686.304,1.4
740.571,729.724,685.337,1.5
789.777,777.428,684.372,1.6
838.963,825.014,683.408,1.7
888.128,872.482,682.446,1.8
937.273,919.832,681.485,1.9
986.398,967.066,680.526,2
1035.5,1014.18,679.568,2.1
1084.59,1061.18,678.612,2.2
1133.65,1108.06,677.657,2.3
1182.69,1154.83,676.704,2.4
1231.72,1201.47,675.752,2.5
1280.72,1248,674.802,2.6
1329.71,1294.42,673.854,2.7
1378.67,1340.71,672.907,2.8
1427.61,1386.89,671.961,2.9
1476.54,1432.96,671.017,3
1525.44,1478.9,670.074,3.1
1574.32,1524.73,669.133,3.2
1623.19,1570.45,668.194,3.3
1672.03,1616.04,667.256,3.4
1720.86,1661.52,666.32,3.5
1769.66,1706.89,665.385,3.6
1818.45,1752.14,664.451,3.7
1867.21,1797.27,663.519,3.8
1915.96,1842.28,662.589,3.9
1964.68,1887.18,661.66,4
2013.39,1931.97,660.733,4.1
2062.08,1976.64,659.807,4.2
2110.74,2021.19,658.883,4.3
2159.39,2065.63,657.96,4.4
2208.02,2109.95,657.039,4.5
2256.63,2154.15,656.119,4.6
2305.22,2198.24,655.201,4.7
2353.79,2242.22,654.285,4.8
2402.34,2286.08,653.37,4.9
2450.87,2329.82,652.456,5
2499.38,2373.45,651.544,5.1
2547.94,2417.02,651.46,5.2
2596.54,2460.53,651.377,5.3
2645.18,2503.98,651.296,5.4
2693.86,2547.37,651.217,5.5
2742.59,2590.7,651.14,5.6
2791.29,2633.91,650.232,5.7
2839.98,2677.01,649.325,5.8
2888.65,2720,648.42,5.9
2937.3,2762.87,647.516,6
2985.92,2805.62,646.614,6.1
3034.53,2848.26,645.714,6.2
3083.12,2890.79,644.815,6.3
3131.7,2933.2,643.917,6.4
3180.25,2975.5,643.022,6.5
3228.78,3017.68,642.127,6.6
3277.3,3059.75,641.235,6.7
3325.79,3101.7,640.344,6.8
3374.27,3143.54,639.454,6.9
3422.72,3185.26,638.566,7
3471.16,3226.87,637.679,7.1
3519.58,3268.37,636.794,7.2
3567.98,3309.75,635.911,7.3
3616.36,3351.02,635.029,7.4
3664.73,3392.17,634.149,7.5
3713.07,3433.21,633.27,7.6
3761.39,3474.14,632.393,7.7
3809.7,3514.95,631.517,7.8
3857.99,3555.65,630.643,7.9
3906.26,3596.24,629.771,8
